ccode,year,D1y,L1D1y,L2D1y,L3D1y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y
32,1870,,,,,0,,,,,,,,,,,,,,,,,
32,1871,,,,,0,,0,,,,,,,,,,,,,,,
32,1872,,,,,0,,0,0,,,,,,,,,,,,,,
32,1873,,,,,0,,0,0,0,,,,,,,,,,,,,
32,1874,,,,,0,,0,0,0,,,,,,,,,,,,,
32,1875,,,,,0,,0,0,0,,,,,,,,0.00183318112976849,0.0787716060876846,0.00488103181123734,0.0217794422060251,-0.019142298027873,-0.0253962278366089
32,1876,0.00183318112976849,,,,0,,0,0,0,,,,,,,,0.0769384279847145,0.00304785370826721,0.019946264103055,-0.0209754761308432,-0.027229405939579,0.174353390932083
32,1877,0.0769384279847145,0.00183318112976849,,,0,,0,0,0,,,,,,,,-0.0738905742764473,-0.0569921657443047,-0.0979139059782028,-0.104167833924294,0.097414955496788,0.1791130900383
32,1878,-0.0738905742764473,0.0769384279847145,0.00183318112976849,,0,,0,0,0,,,,,,,,0.0168984103947878,-0.0240233298391104,-0.0302772596478462,0.171305537223816,0.253003686666489,0.286006927490234
32,1879,0.0168984103947878,-0.0738905742764473,0.0769384279847145,0.00183318112976849,0,,0,0,0,,,,,,,,-0.0409217402338982,-0.0471756681799889,0.154407113790512,0.236105263233185,0.269108474254608,0.382257521152496
32,1880,-0.0409217402338982,0.0168984103947878,-0.0738905742764473,0.0769384279847145,0,,0,0,0,,,,,,,,-0.00625392887741327,0.195328861474991,0.277027010917664,0.310030221939087,0.423179268836975,0.388700246810913
32,1881,-0.00625392887741327,-0.0409217402338982,0.0168984103947878,-0.0738905742764473,0,,0,0,0,,,,,,,,0.201582789421082,0.283280938863754,0.3162841796875,0.429433226585388,0.394954204559326,0.413380175828934
