CountryCode,year,F1y,F2y,F3y,F4y,F5y,F6y,F7y,F8y,F9y,F10y,L0HHD_L1GDP,L0NFD_L1GDP,L1HHD_L1GDP,L2HHD_L1GDP,L3HHD_L1GDP,L4HHD_L1GDP,L1NFD_L1GDP,L2NFD_L1GDP,L3NFD_L1GDP,L4NFD_L1GDP,L0y,L1y,L2y,L3y,L4y
36,1973,,,,,,,,,,,,,,,,,,,,,2678.7051,,,,
36,1974,,,,,,,,,,,,,,,,,,,,,2682.8059,,,,
36,1975,,,,,,,,,,,,,,,,,,,,,2683.9158,,,,
36,1976,,,,,,,,,,,,,,,,,,,,,2686.5303,,,,
36,1977,2690.9475,2694.9802,2698.0935,2701.2981,2704.5833,2702.2214,2706.8904,2711.8528,2716.2617,2718.7854,41.270432,43.905048,,,,,,,,,2690.1211,2686.5303,2683.9158,2682.8059,2678.7051
36,1978,2694.9802,2698.0935,2701.2981,2704.5833,2702.2214,2706.8904,2711.8528,2716.2617,2718.7854,2724.3887,42.108219,43.218521,41.270432,,,,43.905048,,,,2690.9475,2690.1211,2686.5303,2683.9158,2682.8059
36,1979,2698.0935,2701.2981,2704.5833,2702.2214,2706.8904,2711.8528,2716.2617,2718.7854,2724.3887,2728.1465,44.770477,46.136192,42.108219,41.270432,,,43.218521,43.905048,,,2694.9802,2690.9475,2690.1211,2686.5303,2683.9158
36,1980,2701.2981,2704.5833,2702.2214,2706.8904,2711.8528,2716.2617,2718.7854,2724.3887,2728.1465,2731.7678,45.65546,48.168068,44.770477,42.108219,41.270432,,46.136192,43.218521,43.905048,,2698.0935,2694.9802,2690.9475,2690.1211,2686.5303
36,1981,2704.5833,2702.2214,2706.8904,2711.8528,2716.2617,2718.7854,2724.3887,2728.1465,2731.7678,2731.3567,47.154476,51.585075,45.65546,44.770477,42.108219,41.270432,48.168068,46.136192,43.218521,43.905048,2701.2981,2698.0935,2694.9802,2690.9475,2690.1211
36,1982,2702.2214,2706.8904,2711.8528,2716.2617,2718.7854,2724.3887,2728.1465,2731.7678,2731.3567,2731.7678,46.63158,55.441448,47.154476,45.65546,44.770477,42.108219,51.585075,48.168068,46.136192,43.218521,2704.5833,2701.2981,2698.0935,2694.9802,2690.9475
36,1983,2706.8904,2711.8528,2716.2617,2718.7854,2724.3887,2728.1465,2731.7678,2731.3567,2731.7678,2735.7898,44.327274,54.952843,46.63158,47.154476,45.65546,44.770477,55.441448,51.585075,48.168068,46.136192,2702.2214,2704.5833,2701.2981,2698.0935,2694.9802
36,1984,2711.8528,2716.2617,2718.7854,2724.3887,2728.1465,2731.7678,2731.3567,2731.7678,2735.7898,2739.7827,47.278835,57.867725,44.327274,46.63158,47.154476,45.65546,54.952843,55.441448,51.585075,48.168068,2706.8904,2702.2214,2704.5833,2701.2981,2698.0935
36,1985,2716.2617,2718.7854,2724.3887,2728.1465,2731.7678,2731.3567,2731.7678,2735.7898,2739.7827,2743.7437,49.478504,61.592522,47.278835,44.327274,46.63158,47.154476,57.867725,54.952843,55.441448,51.585075,2711.8528,2706.8904,2702.2214,2704.5833,2701.2981
36,1986,2718.7854,2724.3887,2728.1465,2731.7678,2731.3567,2731.7678,2735.7898,2739.7827,2743.7437,2747.6704,49.880424,72.68766,49.478504,47.278835,44.327274,46.63158,61.592522,57.867725,54.952843,55.441448,2716.2617,2711.8528,2706.8904,2702.2214,2704.5833
36,1987,2724.3887,2728.1465,2731.7678,2731.3567,2731.7678,2735.7898,2739.7827,2743.7437,2747.6704,2751.4487,49.368462,81.28846,49.880424,49.478504,47.278835,44.327274,72.68766,61.592522,57.867725,54.952843,2718.7854,2716.2617,2711.8528,2706.8904,2702.2214
