COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
1,37,1268.258509,,,,,,,,,,,0,,,,,,,,
1,38,1270.484815,,,,,,,,,,,0,1268.258509,,,,0,,,
1,39,1271.62564,,,,,,,,,,,0,1270.484815,1268.258509,,,0,0,,
1,40,1274.470758,,,,,,,,,,,0,1271.62564,1270.484815,1268.258509,,0,0,0,
1,41,1275.158472,1277.427242,1279.304937,1280.914078,1281.035579,1278.749884,1277.503315,1281.959491,1285.381769,1287.184241,1290.738143,0,1274.470758,1271.62564,1270.484815,1268.258509,0,0,0,0
1,42,1277.427242,1279.304937,1280.914078,1281.035579,1278.749884,1277.503315,1281.959491,1285.381769,1287.184241,1290.738143,1291.907356,0,1275.158472,1274.470758,1271.62564,1270.484815,0,0,0,0
1,43,1279.304937,1280.914078,1281.035579,1278.749884,1277.503315,1281.959491,1285.381769,1287.184241,1290.738143,1291.907356,1292.348208,0,1277.427242,1275.158472,1274.470758,1271.62564,0,0,0,0
1,44,1280.914078,1281.035579,1278.749884,1277.503315,1281.959491,1285.381769,1287.184241,1290.738143,1291.907356,1292.348208,1294.324554,0,1279.304937,1277.427242,1275.158472,1274.470758,0,0,0,0
1,45,1281.035579,1278.749884,1277.503315,1281.959491,1285.381769,1287.184241,1290.738143,1291.907356,1292.348208,1294.324554,1296.881034,0,1280.914078,1279.304937,1277.427242,1275.158472,0,0,0,0
1,46,1278.749884,1277.503315,1281.959491,1285.381769,1287.184241,1290.738143,1291.907356,1292.348208,1294.324554,1296.881034,1300.601468,0,1281.035579,1280.914078,1279.304937,1277.427242,0,0,0,0
1,47,1277.503315,1281.959491,1285.381769,1287.184241,1290.738143,1291.907356,1292.348208,1294.324554,1296.881034,1300.601468,1301.31478,0,1278.749884,1281.035579,1280.914078,1279.304937,0,0,0,0
1,48,1281.959491,1285.381769,1287.184241,1290.738143,1291.907356,1292.348208,1294.324554,1296.881034,1300.601468,1301.31478,1303.457034,0,1277.503315,1278.749884,1281.035579,1280.914078,0,0,0,0
1,49,1285.381769,1287.184241,1290.738143,1291.907356,1292.348208,1294.324554,1296.881034,1300.601468,1301.31478,1303.457034,1306.610126,0,1281.959491,1277.503315,1278.749884,1281.035579,0,0,0,0
1,50,1287.184241,1290.738143,1291.907356,1292.348208,1294.324554,1296.881034,1300.601468,1301.31478,1303.457034,1306.610126,1307.11087,0,1285.381769,1281.959491,1277.503315,1278.749884,0,0,0,0
1,51,1290.738143,1291.907356,1292.348208,1294.324554,1296.881034,1300.601468,1301.31478,1303.457034,1306.610126,1307.11087,1308.069306,0,1287.184241,1285.381769,1281.959491,1277.503315,0,0,0,0
1,52,1291.907356,1292.348208,1294.324554,1296.881034,1300.601468,1301.31478,1303.457034,1306.610126,1307.11087,1308.069306,1308.182845,0,1290.738143,1287.184241,1285.381769,1281.959491,0,0,0,0
1,53,1292.348208,1294.324554,1296.881034,1300.601468,1301.31478,1303.457034,1306.610126,1307.11087,1308.069306,1308.182845,1306.590469,0,1291.907356,1290.738143,1287.184241,1285.381769,0,0,0,0
1,54,1294.324554,1296.881034,1300.601468,1301.31478,1303.457034,1306.610126,1307.11087,1308.069306,1308.182845,1306.590469,1307.132011,0,1292.348208,1291.907356,1290.738143,1287.184241,0,0,0,0
1,55,1296.881034,1300.601468,1301.31478,1303.457034,1306.610126,1307.11087,1308.069306,1308.182845,1306.590469,1307.132011,1308.691404,0,1294.324554,1292.348208,1291.907356,1290.738143,0,0,0,0
1,56,1300.601468,1301.31478,1303.457034,1306.610126,1307.11087,1308.069306,1308.182845,1306.590469,1307.132011,1308.691404,1311.591615,0,1296.881034,1294.324554,1292.348208,1291.907356,0,0,0,0
1,57,1301.31478,1303.457034,1306.610126,1307.11087,1308.069306,1308.182845,1306.590469,1307.132011,1308.691404,1311.591615,1312.952959,0,1300.601468,1296.881034,1294.324554,1292.348208,0,0,0,0
1,58,1303.457034,1306.610126,1307.11087,1308.069306,1308.182845,1306.590469,1307.132011,1308.691404,1311.591615,1312.952959,1314.917833,0,1301.31478,1300.601468,1296.881034,1294.324554,0,0,0,0
1,59,1306.610126,1307.11087,1308.069306,1308.182845,1306.590469,1307.132011,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,0,1303.457034,1301.31478,1300.601468,1296.881034,0,0,0,0
1,60,1307.11087,1308.069306,1308.182845,1306.590469,1307.132011,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,0,1306.610126,1303.457034,1301.31478,1300.601468,0,0,0,0
1,61,1308.069306,1308.182845,1306.590469,1307.132011,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,0,1307.11087,1306.610126,1303.457034,1301.31478,0,0,0,0
1,62,1308.182845,1306.590469,1307.132011,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,0,1308.069306,1307.11087,1306.610126,1303.457034,0,0,0,0
1,63,1306.590469,1307.132011,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,0,1308.182845,1308.069306,1307.11087,1306.610126,0,0,0,0
1,64,1307.132011,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,0,1306.590469,1308.182845,1308.069306,1307.11087,0,0,0,0
1,65,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,0,1307.132011,1306.590469,1308.182845,1308.069306,0,0,0,0
1,66,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,0,1308.691404,1307.132011,1306.590469,1308.182845,0,0,0,0
1,67,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,0,1311.591615,1308.691404,1307.132011,1306.590469,0,0,0,0
1,68,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,0,1312.952959,1311.591615,1308.691404,1307.132011,0,0,0,0
1,69,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,0,1314.917833,1312.952959,1311.591615,1308.691404,0,0,0,0
1,70,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,0,1317.794124,1314.917833,1312.952959,1311.591615,0,0,0,0
1,71,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,0,1319.233907,1317.794124,1314.917833,1312.952959,0,0,0,0
1,72,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,0,1320.207261,1319.233907,1317.794124,1314.917833,0,0,0,0
1,73,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,0,1322.416693,1320.207261,1319.233907,1317.794124,0,0,0,0
1,74,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,0,1324.509097,1322.416693,1320.207261,1319.233907,0,0,0,0
1,75,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,0,1326.414478,1324.509097,1322.416693,1320.207261,0,0,0,0
1,76,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,0,1329.789903,1326.414478,1324.509097,1322.416693,0,0,0,0
1,77,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,0,1331.351249,1329.789903,1326.414478,1324.509097,0,0,0,0
1,78,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,0,1333.138663,1331.351249,1329.789903,1326.414478,0,0,0,0
1,79,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,0,1336.230483,1333.138663,1331.351249,1329.789903,0,0,0,0
1,80,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,0,1337.543211,1336.230483,1333.138663,1331.351249,0,0,0,0
1,81,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,0,1339.740051,1337.543211,1336.230483,1333.138663,0,0,0,0
1,82,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,0,1341.566615,1339.740051,1337.543211,1336.230483,0,0,0,0
1,83,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,0,1341.284965,1341.566615,1339.740051,1337.543211,0,0,0,0
1,84,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,0,1343.209482,1341.284965,1341.566615,1339.740051,0,0,0,0
1,85,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,0,1345.378521,1343.209482,1341.284965,1341.566615,0,0,0,0
1,86,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,0,1347.743676,1345.378521,1343.209482,1341.284965,0,0,0,0
1,87,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,0,1348.96944,1347.743676,1345.378521,1343.209482,0,0,0,0
1,88,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,0,1349.623216,1348.96944,1347.743676,1345.378521,0,0,0,0
1,89,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,0,1352.896046,1349.623216,1348.96944,1347.743676,0,0,0,0
1,90,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,0,1354.163019,1352.896046,1349.623216,1348.96944,0,0,0,0
1,91,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,0,1355.78063,1354.163019,1352.896046,1349.623216,0,0,0,0
1,92,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,0,1357.150656,1355.78063,1354.163019,1352.896046,0,0,0,0
1,93,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,0,1359.13281,1357.150656,1355.78063,1354.163019,0,0,0,0
1,94,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,0,1359.517246,1359.13281,1357.150656,1355.78063,0,0,0,0
1,95,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,0,1362.197865,1359.517246,1359.13281,1357.150656,0,0,0,0
1,96,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,0,1364.457019,1362.197865,1359.517246,1359.13281,0,0,0,0
1,97,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,2,1365.885543,1364.457019,1362.197865,1359.517246,0,0,0,0
1,98,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,4,1367.311029,1365.885543,1364.457019,1362.197865,2,0,0,0
1,99,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1,1367.334476,1367.311029,1365.885543,1364.457019,4,2,0,0
1,100,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,0,1368.975344,1367.334476,1367.311029,1365.885543,1,4,2,0
1,101,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,0,1370.008658,1368.975344,1367.334476,1367.311029,0,1,4,2
1,102,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,0,1371.036425,1370.008658,1368.975344,1367.334476,0,0,1,4
1,103,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,0,1372.656557,1371.036425,1370.008658,1368.975344,0,0,0,1
1,104,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,0,1373.50506,1372.656557,1371.036425,1370.008658,0,0,0,0
1,105,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,,0,1375.717455,1373.50506,1372.656557,1371.036425,0,0,0,0
1,106,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,,,0,1377.284243,1375.717455,1373.50506,1372.656557,0,0,0,0
1,107,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,,,,,1378.391423,1377.284243,1375.717455,1373.50506,0,0,0,0
1,108,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,,,,,,1379.310236,1378.391423,1377.284243,1375.717455,,0,0,0
1,109,1382.011083,1382.95087,1384.075746,1385.808162,,,,,,,,,1380.647485,1379.310236,1378.391423,1377.284243,,,0,0
1,110,1382.95087,1384.075746,1385.808162,,,,,,,,,,1382.011083,1380.647485,1379.310236,1378.391423,,,,0
