cnty,obs,GRRT_WB,CRISIS
_ABW,1960,,
_ABW,1961,,
_ABW,1962,,
_ABW,1963,,
_ABW,1964,,
_ABW,1965,,
_ABW,1966,,
_ABW,1967,,
_ABW,1968,,
_ABW,1969,,
_ABW,1970,,
_ABW,1971,,
_ABW,1972,,
_ABW,1973,,
_ABW,1974,,
_ABW,1975,,
_ABW,1976,,
_ABW,1977,,
_ABW,1978,,
_ABW,1979,,
_ABW,1980,,
_ABW,1981,,
_ABW,1982,,
_ABW,1983,,
_ABW,1984,,
_ABW,1985,,
_ABW,1986,,
_ABW,1987,,0
_ABW,1988,16.9979128964045,0
_ABW,1989,9.00061189943176,0
_ABW,1990,12.0027692981139,0
_ABW,1991,4.00044699095869,0
_ABW,1992,3.99762451445835,0
_ABW,1993,3.99958672406846,0
_ABW,1994,6.00060015961692,0
_ABW,1995,,0
_ABW,1996,,0
_ABW,1997,,0
_ABW,1998,,0
_ABW,1999,,0
_ABW,2000,,0
_ABW,2001,,0
_AFG,1960,,
_AFG,1961,.92103946991726,1
_AFG,1962,1.69496449349711,1
_AFG,1963,1.79484551154199,0
_AFG,1964,2.01510794454695,1
_AFG,1965,2.09879341456691,0
_AFG,1966,1.08827085852479,0
_AFG,1967,2.87081339712917,1
_AFG,1968,3.48837209302325,0
_AFG,1969,1.57303370786516,0
_AFG,1970,1.99103982300886,0
_AFG,1971,-4.77213098929608,0
_AFG,1972,-1.82232346241457,1
_AFG,1973,11.3687935034803,0
_AFG,1974,7.70844552963076,0
_AFG,1975,2.9980657640232,0
_AFG,1976,6.29107981220658,0
_AFG,1977,3.53356890459363,0
_AFG,1978,4.09556313993174,0
_AFG,1979,-.901639344262293,0
_AFG,1980,-3.06038047973531,1
_AFG,1981,2.73037542662115,1
_AFG,1982,.830564784053165,0
_AFG,1983,,1
_AFG,1984,,0
_AFG,1985,,0
_AFG,1986,,0
_AFG,1987,,0
_AFG,1988,,0
_AFG,1989,,0
_AFG,1990,,0
_AFG,1991,,0
_AFG,1992,,
_AFG,1993,,
_AFG,1994,,
_AFG,1995,,
_AFG,1996,,
_AFG,1997,,
_AFG,1998,,
_AFG,1999,,
_AFG,2000,,
_AFG,2001,,
_AGO,1960,,
_AGO,1961,,
_AGO,1962,,
_AGO,1963,,
_AGO,1964,,
_AGO,1965,,
_AGO,1966,,
_AGO,1967,,
_AGO,1968,,
_AGO,1969,,
_AGO,1970,,
_AGO,1971,,
_AGO,1972,,
_AGO,1973,,
_AGO,1974,,
_AGO,1975,,
_AGO,1976,,
_AGO,1977,,
_AGO,1978,,
_AGO,1979,,
_AGO,1980,,
_AGO,1981,,
_AGO,1982,,
_AGO,1983,,
_AGO,1984,,
_AGO,1985,,
_AGO,1986,2.79999999999987,
_AGO,1987,7.90000000000046,
_AGO,1988,5.59999999999947,
_AGO,1989,.400000000000048,
_AGO,1990,-.299999999999883,
_AGO,1991,-1.19999999999988,
_AGO,1992,-6.89999999999993,
_AGO,1993,-24.7,
_AGO,1994,3.49999999999979,
_AGO,1995,10.3999999999999,
_AGO,1996,11.2000000000003,0
_AGO,1997,7.90000000000003,1
_AGO,1998,6.80476211407222,1
_AGO,1999,3.34561937842565,0
_AGO,2000,3.04482838360765,0
_AGO,2001,3.1656464684503,1
_ALB,1960,,
_ALB,1961,,
_ALB,1962,,
_ALB,1963,,
_ALB,1964,,
_ALB,1965,,
_ALB,1966,,
_ALB,1967,,
_ALB,1968,,
_ALB,1969,,
_ALB,1970,,
_ALB,1971,,
_ALB,1972,,
_ALB,1973,,
_ALB,1974,,
_ALB,1975,,
_ALB,1976,,
_ALB,1977,,
_ALB,1978,,
_ALB,1979,,
_ALB,1980,,
_ALB,1981,5.74562978742188,
_ALB,1982,2.94859316357031,
_ALB,1983,1.10493831283773,
_ALB,1984,-1.25159576924517,
_ALB,1985,1.78064364018375,
_ALB,1986,5.63725163137067,
_ALB,1987,-.787845683550244,
_ALB,1988,-1.42004451135726,
_ALB,1989,9.836552348046141,
_ALB,1990,-9.57563720223483,
_ALB,1991,-27.4808434462672,
_ALB,1992,-7.1998005121984,
_ALB,1993,9.599998652112321,
_ALB,1994,9.399999363883859,0
_ALB,1995,8.900000247120079,0
_ALB,1996,9.1000022247436,0
_ALB,1997,-7.00000163134266,1
_ALB,1998,7.87308346835034,0
_ALB,1999,7.25,0
_ALB,2000,7.80000000000001,0
_ALB,2001,6.48434659569798,0
_ANT,1960,,
_ANT,1961,,
_ANT,1962,,
_ANT,1963,,
_ANT,1964,,
_ANT,1965,,
_ANT,1966,,
_ANT,1967,,
_ANT,1968,,
_ANT,1969,,0
_ANT,1970,,0
_ANT,1971,,0
_ANT,1972,,0
_ANT,1973,,0
_ANT,1974,,0
_ANT,1975,,0
_ANT,1976,,0
_ANT,1977,,0
_ANT,1978,,1
_ANT,1979,,0
_ANT,1980,,0
_ANT,1981,1.17720495400535,0
_ANT,1982,-1.85380879623565,0
_ANT,1983,-.544540876431867,0
_ANT,1984,-1.83071994496305,1
_ANT,1985,-2.09725769308793,0
_ANT,1986,,0
_ANT,1987,,0
_ANT,1988,,0
_ANT,1989,,1
_ANT,1990,,0
_ANT,1991,,1
_ANT,1992,,0
_ANT,1993,,0
_ANT,1994,,1
_ANT,1995,,0
_ANT,1996,,0
_ANT,1997,,0
_ANT,1998,,0
